userNo,registerDays,firstOrderDays,avgReleaseTimeOfLatest30day,avgPayTimeOfLatest30day,finishRateLatest30day,completedOrderNumOfLatest30day,completedBuyOrderNumOfLatest30day,completedSellOrderNumOfLatest30day,completedOrderTotalBtcAmountOfLatest30day,completedOrderNum,completedBuyOrderNum,completedSellOrderNum,completedBuyOrderTotalBtcAmount,completedSellOrderTotalBtcAmount,completedOrderTotalBtcAmount,counterpartyCount
s051a914a94c03bbf8a251f69122f64cd,316,175,0.0,107.5,1.0,2,2,0,0,10,9,1,0,0,0,8
s32317a265972325e9aabb39ad4ce15fd,1738,1651,86.67,42.12,0.924,72,69,3,0,93,90,3,0,0,0,30
sc103fa06bb2533ebb74a6ee62b6025f9,308,307,64.33,122.16,0.584,28,25,3,0,34,30,4,0,0,0,19
s09831bc1da5532d9be677aac3027b42f,475,73,57.0,139.0,1.0,5,4,1,0,13,12,1,0,0,0,11
s3aeb29eda25a39bea0c17a4d3bc4e9b4,956,956,0.0,122.58,0.897,26,26,0,0,137,137,0,0,0,0,81
s7a596c64d9cf32afa09c10c3fbbe6f94,467,391,0.0,68.43,0.875,7,7,0,0,90,78,12,0,0,0,59
s9d108669ddc23d4a9ede2ea3e0ede052,218,218,0.0,357.5,0.4,2,2,0,0,9,8,1,0,0,0,9
sd82c11a0446b39d6996ed3fd31e606a8,311,42,0.0,813.0,0.167,1,1,0,0,1,1,0,0,0,0,1
s11160933acb23c81bad9dfeee20aec3f,264,59,95.0,182.5,0.75,3,2,1,0,6,4,2,0,0,0,6
s24387a51efbd3702b6e65a0fe7c31b4a,1263,4,0.0,232.5,1.0,2,2,0,0,2,2,0,0,0,0,2
s85659afb1d1332d4a4f49d505203aaaf,183,183,152.25,130.78,0.973,36,32,4,0,206,176,30,0,0,0,100
se51efa41ec0c34b2a1336bb451e40646,59,59,81.0,99.0,0.858,6,4,2,0,14,8,6,0,0,0,12
s8c7a96f7cb7c3658919094f959ac8cfd,94,49,59.0,94.1,0.948,36,30,6,0,51,42,9,0,0,0,14
s48d196f37a173f30b55afdc067220181,466,464,19.6,125.53,0.8,20,15,5,0,32,17,15,0,0,0,27
s54dfa55b42f834ed80b91284cd3b7192,61,54,0.0,165.5,0.572,4,4,0,0,8,8,0,0,0,0,8
s93e6379098eb3560b4bcb0f594150aa9,57,56,0.0,100.0,0.667,2,2,0,0,7,7,0,0,0,0,6
sb31111c87d1932c192ff79cdf003a6b1,447,445,0.0,41.25,0.8,4,4,0,0,6,6,0,0,0,0,4
sab548a592f7d3cfea81bc729dd11955a,1689,1600,78.29,211.93,0.537,22,15,7,0,146,95,51,0,0,0,123
s9d78dacba80a36b0980fbabc0c56723e,487,185,0.0,212.5,0.667,2,2,0,0,5,5,0,0,0,0,5
sc053ce48aef8357482333c0467061535,1294,1293,0.0,203.67,0.75,3,3,0,0,4,4,0,0,0,0,4
s3bec222b81fa39efb4ae475e438f93bc,703,682,94.5,75.0,0.84,21,17,4,0,189,143,46,0,0,0,143
sed7cac6e889c387c9eefe669aaefb2b4,1447,1445,0.0,212.0,0.867,13,13,0,0,229,215,14,0,0,0,133
s6a2a47a5bd413c479f539fc466c4a3a4,365,191,0.0,382.0,1.0,1,1,0,0,8,8,0,0,0,0,8
s5f77bb50937736db97b01c36b7334701,428,425,0.0,200.0,0.334,1,1,0,0,7,5,2,0,0,0,7
s96024caadd383b56bccc34f72b3879f7,2195,116,0.0,95.0,0.693,9,9,0,0,39,39,0,0,0,0,26
s33b56715462a3c35806ccd3357f273eb,310,135,0.0,218.0,0.667,2,2,0,0,8,8,0,0,0,0,6
sc539364af3663c3db157af9dafeaa2e6,340,59,41.31,73.59,0.791,87,71,16,0,163,133,30,0,0,0,77
se45fee93cb5c3dba838e7bbcdee50a0c,582,4,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0
s97e15b9f3547308aa15427b7d86ff6c7,353,353,152.5,183.86,0.862,31,29,2,0,41,36,5,0,0,0,31
sf82daf820b3439b1ba3d9fe033b52fa8,487,225,187.0,74.0,0.9,18,17,1,0,53,49,4,0,0,0,39
s66c05e638a3c3354a777203dacd35517,1718,1404,0.0,216.0,1.0,1,1,0,0,4,4,0,0,0,0,4
s58034c714deb3d02b79a803c8b108d5f,1183,245,106.0,158.12,0.839,26,25,1,0,33,29,4,0,0,0,24
s9ead5e02e2dd31a9ab0a1600547e28fb,1093,641,0.0,116.0,0.5,1,1,0,0,7,5,2,0,0,0,7
sc9f5cc712b0f3d1dbcab9b6f4140d2f9,213,212,0.0,211.0,0.5,1,1,0,0,3,3,0,0,0,0,3
s6b006338ccb1362aa1ab65bd15dd315d,319,196,86.88,141.33,0.734,11,3,8,0,79,48,31,0,0,0,63
s03a9d90cf6ba39db97dd439dc9da8aa4,510,478,0.0,79.67,0.75,15,15,0,0,38,38,0,0,0,0,26
s990abafaf9d8312a949329bffea2d201,961,817,0.0,82.1,1.0,10,10,0,0,71,21,50,0,0,0,63
s30c6b6770dee3bb1b02cd6e985762e2e,500,500,901.9,104.37,0.925,98,57,41,0,456,305,151,0,0,0,250
s15be5d37f0f038f1910091fac9f76be4,57,51,0.0,81.67,1.0,3,3,0,0,17,17,0,0,0,0,15
se4bac4d48c533dda9c687f669e568ad0,1681,1264,0.0,253.0,0.467,7,7,0,0,8,7,1,0,0,0,7
s7d313d217ac63e1288b8ae70d70adae0,1845,1438,150.27,140.6,0.965,27,5,22,0,281,119,162,0,0,0,212
sf71d8d1ae2eb3755a21a83b63755f95e,196,162,0.0,34.19,0.965,27,27,0,0,77,68,9,0,0,0,32
s398a872c181e3c27b6704626a9077893,481,4,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0
sd231d6b2204e377c93d5896d27537098,124,117,41.91,113.64,0.834,45,22,23,0,126,68,58,0,0,0,103
s91081bbc0b0238028b6736f9cebe157d,61,59,25.56,43.07,0.848,39,30,9,0,148,115,33,0,0,0,49
sfb5d73ec0c623f54a013e5e9df7779b5,327,325,0.0,48.64,0.959,92,92,0,0,186,186,0,0,0,0,43
s31180c005d883f95b3a894eed868ba5f,56,56,16138.33,90.9,0.772,44,41,3,0,59,56,3,0,0,0,19
s4286496005a63c3b8d3fb14b5194276e,286,10,18.5,107.5,0.6,6,4,2,0,6,4,2,0,0,0,6
s43e6949b959b3cdd911fc32ae9784818,2927,58,0.0,113.1,0.77,10,10,0,0,16,14,2,0,0,0,13
sdc6c23d35c9332009c2d7be3154b4f56,533,282,0.0,130.55,0.752,112,112,0,0,450,450,0,0,0,0,135
s7b1a609d38173fd3abd07d4cd3e0da05,314,308,187.5,69.0,0.953,20,18,2,0,60,42,18,0,0,0,34
sb7dea2dc290139dabb64d8c07568675d,1415,1272,0.0,68.43,1.0,7,7,0,0,16,11,5,0,0,0,15
sacd3629d80413016825f368768bf217a,759,751,79.0,160.2,0.875,7,5,2,0,33,31,2,0,0,0,30
sc429148acb5f3165af8f2d59d5174cbc,61,61,140.14,49.38,0.916,119,112,7,0,166,159,7,0,0,0,45
s58aa83f206353acb8f8b1af72edc238e,469,436,63.75,94.0,0.9,18,10,8,0,66,53,13,0,0,0,56
s3cf033f045793317a10e8058cafc3ae6,57,54,160.0,108.58,0.794,46,45,1,0,67,66,1,0,0,0,30
s37e3003d19f931d881a980137433e645,405,400,0.0,113.96,0.9,27,27,0,0,217,209,8,0,0,0,155
s729a6729ee7e3bdf82b92d03fc4a5bb5,92,90,0.0,162.97,0.705,31,31,0,0,113,110,3,0,0,0,66
sea30c015df1a32fa99b9c154429b1ed1,852,850,85.71,192.41,0.828,24,17,7,0,356,318,38,0,0,0,156
sbc7f071105923392a6717ef72f110141,216,216,130.0,67.75,1.0,13,12,1,0,24,23,1,0,0,0,13
s6d5a7d0ca562353ab3bea0b3c2a9c8b7,349,83,0.0,344.0,0.154,2,2,0,0,3,3,0,0,0,0,3
s02bfae9661b93221abe827fe12ae7329,1084,672,35.0,205.0,1.0,4,3,1,0,25,21,4,0,0,0,23
sbeca31ca904634c8b75235ab8dd72a4a,455,208,138.83,75.97,0.954,41,35,6,0,133,122,11,0,0,0,88
s15dfecf832e93829bad0d240d9b49e49,1655,764,55.22,156.0,1.0,22,13,9,0,47,35,12,0,0,0,41
sb99b78fb14a7359a9139ef90f2e463f1,86,85,0.0,221.71,0.85,17,17,0,0,55,55,0,0,0,0,20
s4ac789bcd82a37cc9387cdfbe0af6a80,403,395,0.0,268.25,0.572,4,4,0,0,57,57,0,0,0,0,46
sedcd3087e94c384cadd94bf08fd1d6d0,1258,1195,0.0,100.45,1.0,11,11,0,0,182,161,21,0,0,0,153
sd9b147dde8c33d50af59176aa9a92333,227,41,0.0,201.0,0.5,1,1,0,0,2,1,1,0,0,0,2
s4d66221afce23a69be1680decd7029f6,501,501,0.0,161.5,1.0,2,2,0,0,14,13,1,0,0,0,14
s355f6383677c39bca327a2b27009704c,1690,1557,0.0,0.0,0.0,0,0,0,0,72,46,26,0,0,0,66
sd349c2c2b30037bf9ce9ffb6918714b5,1083,1082,0.0,99.0,0.667,2,2,0,0,41,39,2,0,0,0,24
sb54c234b4f793bbeaff4c58897a66ea4,1703,1673,0.0,128.91,0.847,11,11,0,0,66,64,2,0,0,0,36
s926d7bd1f379389ea667358732c472d4,77,41,2303.33,92.5,0.711,27,18,9,0,42,32,10,0,0,0,23
s13075158a3333a9f968329d296fa33f7,392,242,0.0,184.0,0.778,7,7,0,0,46,44,2,0,0,0,40
s5819471e11333398acf75d7bfb3d0d16,61,61,46.83,75.41,0.911,81,58,23,0,114,81,33,0,0,0,69
sccb9ee3f901131c9a006b96806e50d9b,1124,1114,104.0,222.2,0.566,13,10,3,0,26,23,3,0,0,0,20
